county,pop_2022,log_population,pct_pov_2021
Kenai Peninsula Borough,60690,11.01353422,11.5
Ketchikan Gateway Borough,13741,9.528139343,11.3
Kodiak Island Borough,12720,9.450930837,8.5
Kusilvak Census Area,8278,9.021356672,30.4
Lake and Peninsula Borough,1381,7.230563153,20.6
Matanuska-Susitna Borough,113325,11.63801508,10.5
Nome Census Area,9835,9.193702731,19.8
North Slope Borough,10805,9.287764269,12.4
Northwest Arctic Borough,7423,8.912338567,20.9
Petersburg Borough,3360,8.119696253,8
Prince of Wales-Hyder Census Area,5650,8.639410824,15
Sitka City and Borough,8382,9.033841828,8.6
Skagway Municipality,1081,6.985641818,6.1
Southeast Fairbanks Census Area,7021,8.856660937,12.9
Wrangell City and Borough,2070,7.635303886,11.3
Yakutat City and Borough,700,6.551080335,12.2
Yukon-Koyukuk Census Area,5179,8.552367266,23.7
Apache County,65432,11.08876671,28.4
Cochise County,125663,11.741359,17.1
Coconino County,144060,11.87798516,16.9
Gila County,53922,10.89529384,16.8
Graham County,38779,10.56563414,20.4
Greenlee County,9302,9.13798471,9.5
La Paz County,16506,9.71147923,20.3
Maricopa County,4551524,15.33097268,11.3
Mohave County,220816,12.30508505,18
Navajo County,108650,11.59588699,24.8
Pima County,1057597,13.87150991,14.7
Pinal County,464154,13.04797167,10.7
Santa Cruz County,48759,10.79464507,20.4
Yavapai County,246191,12.41386294,12.5
Yuma County,207842,12.24453345,17.3
Arkansas County,16512,9.711842668,17.7
Ashley County,18354,9.817602813,21.3
Baxter County,42435,10.65572877,13.4
Benton County,302863,12.62103584,7.9
Boone County,38284,10.55278733,13
Bradley County,10135,9.223750059,19.6
Calhoun County,4695,8.454253392,14.6
Carroll County,28742,10.26611475,16.8
Chicot County,9873,9.197559038,27.9
Clark County,21250,9.964112174,20
Clay County,14265,9.565564264,17.9
Cleburne County,25284,10.13792706,16.7
Cleveland County,7467,8.918248591,14.1
Columbia County,22216,10.00856803,23.2
Conway County,21046,9.954465797,16.9
Craighead County,113017,11.63529353,18.2
Crawford County,61075,11.0198579,14.7
Crittenden County,47061,10.75919991,23
Cross County,16601,9.717218213,16.7
Dallas County,6191,8.730851904,20.2
Desha County,10771,9.284612616,27.6
Drew County,16911,9.735719577,16.5
Faulkner County,127665,11.75716492,13.6
Franklin County,17271,9.756784073,17.2
Fulton County,12382,9.423999084,18
Garland County,100089,11.51381507,14.5
Grant County,18160,9.806976652,11.2
Greene County,46448,10.74608869,12.9
Hempstead County,19453,9.875756579,21.2
Hot Spring County,33203,10.41039551,17.8
Howard County,12557,9.438033558,17.9
Independence County,37945,10.54389302,18.9
Izard County,14048,9.550235316,18.4
Jackson County,16624,9.718602713,22.5
Jefferson County,64246,11.07047474,20.3
Johnson County,26001,10.16589028,18.1
Lafayette County,6101,8.716207971,23.7
Lawrence County,16205,9.693075116,20.4
Lee County,8364,9.031692061,34.9
Lincoln County,12916,9.466222132,22.6
Little River County,11821,9.37763289,15.7
Logan County,21253,9.964253341,15.4
Lonoke County,75225,11.2282389,11
Madison County,17486,9.76915584,15.4
Marion County,17254,9.75579928,17.8
Miller County,42552,10.65848214,20.4
Mississippi County,38896,10.5686467,23.9
Monroe County,6564,8.789355452,25.3
Montgomery County,8556,9.05438807,19.9
Nevada County,8181,9.009569672,21.2
Newton County,7078,8.864746661,19.1
Ouachita County,22049,10.00102253,20.2
Perry County,10063,9.21662061,15.2
Phillips County,15304,9.635869511,35.7
Pike County,10179,9.228082053,18.6
Poinsett County,22495,10.02104834,22.2
Polk County,19337,9.869775638,19.3
Pope County,64065,11.06765347,18
Prairie County,8069,8.995784838,15.7
Pulaski County,399145,12.89708004,17.6
Randolph County,18837,9.8435783,17
St. Francis County,22451,10.01909044,32.2
Saline County,127357,11.75474945,8.5
Scott County,9805,9.190647739,17.3
Searcy County,7918,8.976893928,20.9
Sebastian County,129059,11.76802494,19.5
Sevier County,15686,9.660523874,18.3
Sharp County,17810,9.787515376,18.3
Stone County,12575,9.439465995,20.8
Union County,37752,10.53879373,17.8
Van Buren County,16102,9.686698767,17.1
Washington County,256054,12.45314364,12.4
White County,77755,11.26131814,16.3
Woodruff County,6049,8.707648248,25.2
Yell County,20129,9.90991684,15.1
Alameda County,1628997,14.30347505,9.4
Alpine County,1190,7.081708586,15.8
Amador County,41412,10.63132597,11.1
Butte County,207303,12.24193677,16.6
Calaveras County,46563,10.74856151,13.5
Colusa County,21914,9.994880981,11.4
Contra Costa County,1156966,13.96131162,8.8
Del Norte County,27082,10.20662458,21.4
El Dorado County,192646,12.16860959,8.8
Fresno County,1015190,13.83058635,19.4
Glenn County,28339,10.25199423,15.5
Humboldt County,135010,11.81310413,19.4
Imperial County,178713,12.09353645,17.3
Inyo County,18718,9.837240907,12.8
Kern County,916108,13.72788954,18.5
Kings County,152981,11.93806901,17.7
Lake County,68191,11.13006787,16.5
Lassen County,29904,10.30574753,18.8
Los Angeles County,9721138,16.08981325,14.1
Madera County,160256,11.98452782,20.4
Marin County,256018,12.45300303,7.8
Mariposa County,17020,9.742144402,14.1
Mendocino County,89783,11.40515093,16.1
Merced County,290014,12.57768448,21.9
Modoc County,8511,9.049114723,19.9
Mono County,12978,9.471010895,9.8
Monterey County,432858,12.97816501,12.1
Napa County,134300,11.80783138,9
Nevada County,102293,11.53559652,11.8
Orange County,3151184,14.96328881,9.9
Placer County,417772,12.94269111,6.6
Plumas County,19351,9.870499377,13
Riverside County,2473902,14.72130722,11.6
Sacramento County,1584169,14.27557054,13
San Benito County,67579,11.12105256,8.9
San Bernardino County,2193656,14.60108012,13.2
San Diego County,3276208,15.00219721,10.7
San Francisco County,808437,13.60285803,11.4
San Joaquin County,793229,13.58386724,12.3
San Luis Obispo County,282013,12.54970845,13.1
San Mateo County,729181,13.49967727,6.8
Santa Barbara County,443837,13.00321266,15.2
Santa Clara County,1870945,14.44195421,6.9
Santa Cruz County,264370,12.48510492,10.6
Shasta County,180930,12.1058655,14
Sierra County,3217,8.076204527,12.3
Siskiyou County,43660,10.68418763,16.8
Solano County,448747,13.01421453,10
Sonoma County,482650,13.08704703,9.1
Stanislaus County,551275,13.21998906,14.1
Sutter County,98503,11.49784228,15.5
Tehama County,65245,11.08590469,15.6
Trinity County,15781,9.666561964,19.1
Tulare County,477544,13.07641158,18.7
Tuolumne County,54531,10.90652463,13.2
Ventura County,832605,13.63231462,8.9
Yolo County,222115,12.31095054,14.8
Yuba County,84310,11.34225576,15.6
Adams County,527575,13.17604631,10
Alamosa County,16592,9.71667593,18.3
Arapahoe County,655808,13.39362334,8.7
Archuleta County,14003,9.547026871,11.4
Baca County,3432,8.140898461,20.3
Bent County,5399,8.59396903,30
Boulder County,327468,12.69914562,10.7
Broomfield County,76121,11.24007946,4.9
Chaffee County,20223,9.91457585,10.4
Cheyenne County,1732,7.457032089,12.9
Clear Creek County,9355,9.143666239,7.6
Conejos County,7579,8.933136544,16.7
Costilla County,3603,8.189522111,23.1
Crowley County,5614,8.633018757,37.8
Custer County,5335,8.582044164,10.5
Delta County,31602,10.36097569,13.9
Denver County,713252,13.47759007,11.7
Dolores County,2455,7.80588204,13.9
Douglas County,375988,12.83731251,2.9
Eagle County,55285,10.9202569,7.1
Elbert County,27799,10.23275533,5.4
El Paso County,740567,13.51517139,9.6
Fremont County,49621,10.81216941,15.9
Garfield County,62271,11.03925111,9.2
Gilpin County,5891,8.681181042,6.9
Grand County,15769,9.665801266,7.2
Gunnison County,17267,9.756552444,12.3
Hinsdale County,775,6.652863029,7.6
Huerfano County,7082,8.865311633,18.6
Jackson County,1302,7.171656823,14.8
Jefferson County,576143,13.26411117,7.3
Kiowa County,1424,7.261225092,12.5
Kit Carson County,6961,8.848078421,12.1
Lake County,7327,8.899321434,11.3
La Plata County,56607,10.94388793,10.1
Larimer County,366778,12.81251204,11.2
Las Animas County,14327,9.569901148,21
Lincoln County,5510,8.614319902,14.9
Logan County,20823,9.943813424,16.4
Mesa County,158636,11.97436755,10.6
Mineral County,931,6.836259277,9.6
Moffat County,13177,9.486228165,10.8
Montezuma County,26468,10.18369174,15.2
Montrose County,43811,10.68764021,12.5
Morgan County,29239,10.28325871,12.4
Otero County,18303,9.81482026,19.7
Ouray County,5100,8.536995819,6.4
Park County,17939,9.794732393,7.3
Phillips County,4449,8.400434631,11.9
Pitkin County,16876,9.733647773,6.7
Prowers County,11854,9.380420642,19.2
Pueblo County,169544,12.04086776,16.2
Rio Blanco County,6569,8.790116893,10.2
Rio Grande County,11325,9.33476795,14.4
Routt County,25007,10.12691106,6
Saguache County,6623,8.798303718,21.6
San Juan County,803,6.688354714,13.8
San Miguel County,8003,8.98757175,9
Sedgwick County,2295,7.738488122,14.2
Summit County,30565,10.32761084,6.7
Teller County,24857,10.12089468,7.9
Washington County,4812,8.478868077,11.6
Weld County,350176,12.76619116,9.8
Yuma County,9899,9.200189021,13.5
Kent County,186946,12.13857508,12.2
New Castle County,575494,13.26298408,11.4
Sussex County,255956,12.45276083,11.5
District of Columbia,671803,13.41772042,16.8
Alachua County,284030,12.55683515,19.1
Baker County,27803,10.23289921,16.1
Bay County,185134,12.12883517,13.9
Bradford County,27313,10.21511806,19.1
Brevard County,630693,13.35457449,11.3
Broward County,1947026,14.48181364,12.8
Calhoun County,13464,9.507774736,20.6
Charlotte County,202661,12.21928991,10.9
Citrus County,162529,11.99861173,15.5
Clay County,226589,12.33089308,8
Collier County,397994,12.89419221,10.4
Columbia County,71908,11.1831428,16.5
DeSoto County,35312,10.47197813,25.5
Dixie County,17124,9.748236267,23.4
Duval County,1016536,13.83191133,14.9
Escambia County,324878,12.69120501,18.5
Flagler County,126705,11.74961683,10.3
Franklin County,12498,9.43332391,21
Gadsden County,43403,10.67828384,25.8
Gilchrist County,18992,9.851773117,15.3
Glades County,12454,9.429797135,19.2
Gulf County,15314,9.636522722,15.7
Hamilton County,13217,9.489259159,25.7
Hardee County,25645,10.1521039,21.9
Hendry County,41339,10.62956164,21.7
Hernando County,206896,12.23997153,12
Highlands County,105618,11.56758409,15.1
Hillsborough County,1513301,14.22980392,14.3
Holmes County,19651,9.885883507,20
Indian River County,167352,12.02785466,11.7
Jackson County,48211,10.78334249,20.6
Jefferson County,15042,9.618601567,16.4
Lafayette County,7786,8.960082528,18.9
Lake County,410139,12.92425141,10
Lee County,822453,13.62004662,12.2
Leon County,297369,12.60272907,16.2
Levy County,45260,10.72017892,18.8
Liberty County,7603,8.936298185,23.1
Madison County,18198,9.809066977,21.8
Manatee County,429125,12.96950353,9.9
Marion County,396415,12.89021692,13.6
Martin County,162006,11.99538865,11.4
Miami-Dade County,2673837,14.79902508,15.2
Monroe County,81708,11.3109072,11
Nassau County,97899,11.49169161,9.9
Okaloosa County,216482,12.28526268,9.7
Okeechobee County,40412,10.60688205,20.9
Orange County,1452726,14.18895235,14.9
Osceola County,422545,12.95405123,13.3
Palm Beach County,1518477,14.23321842,11.6
Pasco County,608794,13.31923523,11.6
Pinellas County,961739,13.77649838,12.3
Polk County,787404,13.57649674,15.6
Putnam County,74731,11.22165028,26.3
St. Johns County,306841,12.63408498,6.3
St. Lucie County,358704,12.79025281,11.4
Santa Rosa County,198268,12.19737493,8.9
Sarasota County,462286,13.04393903,8.6
Seminole County,478772,13.07897977,9.4
Sumter County,144970,11.8842821,9.5
Suwannee County,45411,10.72350965,20.6
Taylor County,21283,9.965663911,20.1
Union County,15460,9.646011322,22.7
Volusia County,579192,13.26938931,13.8
Wakulla County,35178,10.46817617,10.1
Walton County,83304,11.33025185,12.4
Washington County,25414,10.14305548,19.2
Appling County,18428,9.821626526,18.2
Atkinson County,8183,9.009814111,23.8
Bacon County,11191,9.322865163,23.4
Baker County,2788,7.933079772,25.9
Baldwin County,43635,10.68361486,24.4
Banks County,19328,9.869310101,12.8
Barrow County,89299,11.39974557,9.6
Bartow County,112816,11.63351345,11.6
Ben Hill County,17069,9.745019232,22.1
Berrien County,18214,9.809945808,17.2
Bibb County,156197,11.95887331,24.5
Bleckley County,12257,9.413852481,19
Brantley County,18183,9.808242371,18.4
Brooks County,16253,9.696032786,23.5
Bryan County,48225,10.78363284,8.1
Bulloch County,83059,11.32730648,21.3
Burke County,24388,10.10184649,20.7
Butts County,26649,10.19050691,14
Calhoun County,5469,8.606851063,34
Camden County,57013,10.95103459,11.8
Candler County,11000,9.305650552,22
Carroll County,124592,11.73279968,16.3
Catoosa County,68826,11.13933686,11.6
Charlton County,12781,9.455714972,24.6
Chatham County,301107,12.61522096,15.5
Chattahoochee County,8819,9.084663764,16.5
Chattooga County,24936,10.12406782,20.2
Cherokee County,281278,12.54709878,7
Clarke County,129875,11.77432773,21.5
Clay County,2845,7.953318347,24.3
Clayton County,296564,12.60001833,18.9
Clinch County,6662,8.804175019,23.9
Cobb County,771952,13.55667765,9.6
Coffee County,43172,10.67294742,26
Colquitt County,45762,10.73120933,22.4
Columbia County,162419,11.99793469,7.3
Cook County,17404,9.764455344,20.1
Coweta County,152882,11.93742166,8.1
Crawford County,12140,9.404261065,16.3
Crisp County,19708,9.888779924,24.2
Dade County,16081,9.68539373,11.3
Dawson County,30138,10.31354211,9
Decatur County,28982,10.27443023,23.8
DeKalb County,762820,13.54477737,14.5
Dodge County,19802,9.893538222,25.6
Dooly County,10572,9.265964276,22.5
Dougherty County,82966,11.32618616,26.1
Douglas County,147316,11.90033522,12.8
Early County,10574,9.266153437,26.1
Echols County,3686,8.212297138,21.6
Effingham County,69041,11.14245581,9.2
Elbert County,19814,9.894144038,19.2
Emanuel County,22929,10.04015776,24.1
Evans County,10695,9.277531622,23.9
Fannin County,25737,10.15568492,13.2
Fayette County,122030,11.7120222,6.5
Floyd County,99443,11.50733989,16.2
Forsyth County,267237,12.49589118,5.3
Franklin County,24128,10.09112827,16.5
Fulton County,1074634,13.8874907,13.7
Gilmer County,32407,10.38612973,14
Glascock County,2939,7.985824666,15.3
Glynn County,85079,11.35133552,16.5
Gordon County,58954,10.98451276,12.8
Grady County,26008,10.16615946,22.4
Greene County,20139,9.910413513,14
Gwinnett County,975353,13.79055474,10.8
Habersham County,47475,10.76795854,13.3
Hall County,212692,12.26760039,12.1
Hancock County,8387,9.034438167,30.5
Haralson County,31337,10.35255479,14.9
Harris County,36276,10.49891164,8.2
Hart County,26909,10.20021608,15.8
Heard County,11725,9.369478593,17.2
Henry County,248364,12.42265069,9.5
Houston County,169631,12.04138077,11.6
Irwin County,9126,9.118882761,21.4
Jackson County,83936,11.33780988,11.9
Jasper County,15951,9.677276802,14.7
Jeff Davis County,14889,9.608377964,19.4
Jefferson County,15314,9.636522722,20.3
Jenkins County,8689,9.069813137,27.4
Johnson County,9242,9.131513591,26.7
Jones County,28472,10.25667643,12.5
Lamar County,19467,9.876476003,14.1
Lanier County,10171,9.227295813,19.8
Laurens County,49660,10.81295506,21.9
Lee County,33642,10.42353057,9.8
Liberty County,68030,11.12770406,18.1
Lincoln County,7841,8.967121656,16.5
Long County,18348,9.817275856,14.6
Lowndes County,119739,11.69306965,24.4
Lumpkin County,34796,10.45725772,13.6
McDuffie County,21713,9.985666438,19.6
McIntosh County,11180,9.321881747,21.4
Macon County,11765,9.372884301,30.3
Madison County,31473,10.35688531,15.1
Marion County,7449,8.915835074,21.3
Meriwether County,20845,9.94486939,21.7
Miller County,5807,8.666819365,24.2
Mitchell County,21116,9.957786326,24.7
Monroe County,29427,10.2896679,11.7
Montgomery County,8655,9.065892468,20.8
Morgan County,21031,9.953752819,10.9
Murray County,40472,10.60836566,15.7
Muscogee County,202616,12.21906784,20.4
Newton County,117621,11.67522287,12.5
Oconee County,43588,10.68253716,6
Oglethorpe County,15469,9.6465933,13.4
Paulding County,178421,12.09190121,7.6
Peach County,28562,10.25983244,19.5
Pickens County,34826,10.45811951,10.3
Pierce County,20168,9.911852469,15.4
Pike County,19990,9.902987427,9.7
Polk County,43709,10.68530931,17.7
Pulaski County,9984,9.208739091,20.9
Putnam County,22984,10.0425536,16.2
Quitman County,2249,7.718240952,24.5
Rabun County,17206,9.753013439,12.5
Randolph County,6116,8.718663567,28.1
Richmond County,206640,12.23873343,21.4
Rockdale County,94984,11.46146374,13.6
Schley County,4496,8.410943392,16.1
Screven County,13977,9.5451684,20.3
Seminole County,9127,9.118992333,23.3
Spalding County,68919,11.14068718,21.3
Stephens County,26767,10.19492506,16.7
Stewart County,4648,8.444192299,31.4
Sumter County,28877,10.27080071,27.9
Talbot County,5747,8.656433259,23.3
Taliaferro County,1600,7.377758908,23
Tattnall County,24064,10.08847223,28
Taylor County,7737,8.953769295,22.7
Telfair County,12354,9.421735176,30.2
Terrell County,8754,9.077266018,26.6
Thomas County,45561,10.72680737,19.1
Tift County,41412,10.63132597,21.4
Toombs County,26837,10.19753681,22.9
Towns County,12972,9.470548467,13.6
Treutlen County,6365,8.758569511,21.8
Troup County,70191,11.15897538,15.6
Turner County,8842,9.087268374,26.2
Twiggs County,7680,8.946374826,21.1
Union County,26388,10.18066464,12
Upson County,28086,10.24302651,18.8
Walker County,68915,11.14062914,14.2
Walton County,103065,11.54311514,10.7
Ware County,35614,10.4804941,24.3
Warren County,5155,8.547722396,25.6
Washington County,19738,9.890300991,22.6
Wayne County,30896,10.338382,24.7
Webster County,2328,7.752764809,20.4
Wheeler County,7314,8.897545599,33.2
White County,28806,10.26833898,12.5
Whitfield County,103132,11.543765,13.4
Wilcox County,8761,9.078065333,27.6
Wilkes County,9599,9.169414205,20.1
Wilkinson County,8681,9.068892008,21.2
Worth County,20424,9.924465959,20.6
Hawaii County,206315,12.23715941,14.7
Honolulu County,995638,13.81113902,10
Kauai County,73810,11.2092495,11.2
Maui County,164351,12.00975966,11.4
Ada County,518907,13.15947996,8.7
Adams County,4817,8.479906607,12.8
Bannock County,89517,11.40218383,12.9
Bear Lake County,6722,8.813141008,9.7
Benewah County,10370,9.246672301,13.7
Bingham County,49923,10.8182371,11.3
Blaine County,24866,10.12125669,7.2
Boise County,8333,9.027978814,12
Bonner County,51414,10.84766579,11.8
Bonneville County,129496,11.77140527,9.8
Boundary County,13345,9.498897062,12.1
Butte County,2684,7.895063498,15.8
Camas County,1153,7.05012252,9.5
Canyon County,251065,12.43346715,11
Caribou County,7190,8.880446451,9.8
Cassia County,25655,10.15249376,11.3
Clark County,806,6.692083743,14.3
Clearwater County,9015,9.106645136,14.8
Custer County,4506,8.413165121,12.6
Elmore County,29403,10.28885199,11.3
Franklin County,15189,9.628326761,8.2
Fremont County,13978,9.545239944,11.8
Gem County,20418,9.924172144,12.4
Gooding County,15715,9.662370949,10.9
Idaho County,17593,9.775256375,13.5
Jefferson County,33428,10.41714915,8
Jerome County,25311,10.13899436,12.6
Kootenai County,183578,12.12039492,9.5
Latah County,40978,10.62079062,13.6
Lemhi County,8240,9.016755623,12
Lewis County,3763,8.232971791,13.2
Lincoln County,5329,8.580918882,11.3
Madison County,54976,10.91465201,17.6
Minidoka County,22194,10.00757726,13.9
Nez Perce County,43004,10.66904841,15.4
Oneida County,4712,8.457867725,10.8
Owyhee County,12613,9.442483307,14.2
Payette County,26956,10.20196119,12
Power County,8068,8.995660899,12.7
Shoshone County,14012,9.547669384,17.9
Teton County,12544,9.436997743,7.4
Twin Falls County,93696,11.44781078,13.4
Valley County,12464,9.430599768,8.3
Washington County,11087,9.31352853,13.7
Adams County,64725,11.0779028,11.8
Alexander County,4858,8.48838211,21.8
Bond County,16566,9.715107681,13.5
Boone County,53154,10.88094864,10.1
Brown County,6330,8.753055515,16.6
Bureau County,32828,10.39903709,12.1
Calhoun County,4360,8.380227336,10.1
Carroll County,15529,9.650464523,13.5
Cass County,12657,9.445965701,11.4
Champaign County,206542,12.23825906,15
Christian County,33436,10.41738844,12
Clark County,15229,9.630956784,10.2
Clay County,13047,9.476313501,14.1
Clinton County,36909,10.5162107,9.1
Coles County,46334,10.74363131,17.4
Cook County,5109292,15.4465714,13.8
Crawford County,18536,9.827470066,13.6
Cumberland County,10324,9.242226561,10.4
DeKalb County,100232,11.51524278,14.2
De Witt County,15310,9.636261489,10.7
Douglas County,19755,9.891161903,9.1
DuPage County,920901,13.73310782,6.9
Edgar County,16433,9.707046787,13
Edwards County,6071,8.711278615,12
Effingham County,34325,10.44362923,9.3
Fayette County,21305,9.966697066,15.3
Ford County,13249,9.491677357,11.2
Franklin County,37242,10.52519244,16.5
Fulton County,33021,10.404899,15.2
Gallatin County,4855,8.487764381,17.4
Greene County,11651,9.363147292,14.1
Grundy County,53041,10.87882048,6.6
Hamilton County,7984,8.985194818,13.2
Hancock County,17244,9.755219536,11.9
Hardin County,3597,8.187855444,18.7
Henderson County,6151,8.724369949,12.3
Henry County,48419,10.78764758,9.5
Iroquois County,26473,10.18388062,10.6
Jackson County,52617,10.87079454,22.3
Jasper County,9212,9.128262261,9.9
Jefferson County,36400,10.50232405,15.3
Jersey County,21246,9.963923921,9.3
Jo Daviess County,21758,9.987736785,8.6
Johnson County,13381,9.501591069,13.3
Kane County,514182,13.15033257,8.6
Kankakee County,106074,11.57189224,13.4
Kendall County,137254,11.8295885,4.9
Knox County,48640,10.79220152,14.7
Lake County,709150,13.47182235,8.5
LaSalle County,108078,11.59060847,13.2
Lawrence County,14914,9.610055648,19.2
Lee County,33848,10.42963519,13.2
Livingston County,35521,10.47787935,11.7
Logan County,27591,10.22524491,13.5
McDonough County,26861,10.1984307,17.9
McHenry County,311747,12.64994724,6
McLean County,171141,12.05024306,13.4
Macon County,101483,11.52764658,17.1
Macoupin County,44245,10.69749765,15.4
Madison County,263864,12.4831891,11.4
Marion County,36914,10.51634616,15.5
Marshall County,11678,9.365462009,9.9
Mason County,12748,9.453129676,12.4
Massac County,13896,9.539356308,16.5
Menard County,12121,9.402694764,8.4
Mercer County,15504,9.648853334,11
Monroe County,35033,10.46404575,4.5
Montgomery County,28020,10.24067382,13.2
Morgan County,32209,10.3800012,14.1
Moultrie County,14323,9.569621916,9.6
Ogle County,51351,10.84643969,8.4
Peoria County,178383,12.0916882,16.3
Perry County,20588,9.932463661,16.6
Piatt County,16723,9.724540296,6.5
Pike County,14484,9.580799871,13.7
Pope County,3770,8.23483028,17.1
Pulaski County,4991,8.515391569,22.3
Putnam County,5572,8.625509335,7.5
Randolph County,30068,10.31121676,15
Richland County,15435,9.644392937,14.2
Rock Island County,141527,11.86024579,16.5
St. Clair County,252671,12.43984353,13.3
Saline County,23087,10.04702497,17.6
Sangamon County,194534,12.17836223,14.4
Schuyler County,6746,8.816705016,12.3
Scott County,4790,8.47428569,11.5
Shelby County,20761,9.940831506,10.3
Stark County,5345,8.583916823,11.4
Stephenson County,43627,10.6834315,12.1
Tazewell County,129911,11.77460488,9.3
Union County,16767,9.727167948,17
Vermilion County,72337,11.18909103,19.7
Wabash County,11087,9.31352853,14.5
Warren County,16354,9.702227795,13.3
Washington County,13643,9.520981849,8.5
Wayne County,15872,9.67231183,14.3
White County,13614,9.518853954,15.7
Whiteside County,54658,10.90885087,13.2
Will County,696757,13.45419199,7.9
Williamson County,66695,11.10788527,14.7
Winnebago County,282188,12.55032879,14.2
Woodford County,38128,10.5487042,6.7
Adams County,36068,10.49316132,12.6
Allen County,391449,12.87761052,13.1
Bartholomew County,83540,11.33308084,8.1
Benton County,8719,9.073259831,10.5
Blackford County,11919,9.385889044,12.9
Boone County,74164,11.21403414,5.5
Brown County,15570,9.653101265,10.8
Carroll County,20555,9.930859499,8.5
Cass County,37540,10.53316231,12.1
Clark County,124237,11.72994631,10.4
Clay County,26379,10.18032352,11.1
Clinton County,32843,10.39949391,10.4
Crawford County,10536,9.262553243,15.4
Daviess County,33418,10.41684996,12.7
Dearborn County,51138,10.84228314,7.6
Decatur County,26416,10.18172517,9.9
DeKalb County,43731,10.68581251,8
Delaware County,112031,11.6265309,18.4
Dubois County,43632,10.68354611,7.5
Elkhart County,206890,12.23994253,11.3
Fayette County,23349,10.05830944,13.6
Floyd County,80714,11.29866732,9.2
Fountain County,16574,9.715590481,10.6
Franklin County,23028,10.04446615,8.6
Fulton County,20327,9.919705331,11.1
Gibson County,32993,10.4040507,11.4
Grant County,66022,11.0977433,18.8
Greene County,31006,10.34193601,14.3
Hamilton County,364921,12.80743617,3.8
Hancock County,83070,11.3274389,5.5
Harrison County,39851,10.59290278,8.5
Hendricks County,182534,12.11469174,5.3
Henry County,48915,10.79783938,15.1
Howard County,83574,11.33348775,11.9
Huntington County,36834,10.51417661,10.6
Jackson County,46300,10.74289724,14.2
Jasper County,33281,10.41274194,8.7
Jay County,20198,9.913338869,13.6
Jefferson County,32946,10.40262514,11.6
Jennings County,27536,10.22324952,12.7
Johnson County,165782,12.01842895,7.5
Knox County,35789,10.48539586,15
